WESS_LAN_num,ISO_lang,Anglicized_name,Language_JFProd,Language_name_WCD,Dialect_name
14274,cwa,Kabwa,KABWA,Koria,Kabwa
14273,cwe,Kwere,KWERE,Nghwele,Kwere
13063,cwt,Wat,KWATAY,Wat,
8282,cya,Nopala,"CHATINO, NOPALA",Nopala,
14815,cym,Cymraeg Safonol,WELSH,Unified Welsh,Cymraeg Safonol
12773,cyo,Cuyo,CUYONON,Cuyo,
8281,czn,Zenzontepec,"CHATINO, ZENZONTEPEC",Zenzontepec,
184814,dag,Dagba,DAGBANLI,Dagba,
4454,dan,Danish,DANISH,Danish,
6558,daq,Dandami Maria,"MARIA, DANDAMI",Maria,Dandami Maria
20644,dar,Dargwa,DARGIN,Dargwa,
7334,dav,Dawida,TAITA,,
10292,dbd,Diya,DADIYA,Diya,
2865,dbq,Daba,DABA,Daba,
22685,dcc,Marathi,DECCANI,Marathi,
98033,dde,Doondo,DOONDO,Doondo,
1344,ddn,Dendi,DENDI (MALANVILLE),Dendi,
53326,ddn,Jugu,DENDI (DJOUGOU),Dendi,Jugu
140367,der,Deori,DEORI,Deori,
1106,deu,High German,"GERMAN, STANDARD",High German,
5188,dga,South Dagaa,"DAGAARI, SOUTHERN",Dagaa,South Dagaa
22197,dgi,Daga,"DAGAARI, NORTHERN",Dagaa,Daga
20651,dgo,Dogri,DOGRI,Dogri,
139104,dgr,Done,Tlicho,Done,
146764,dgz,Nawp,LOWER DAGA,,
24343,dhd,Jaipuri,DHUNDARI,Jaipuri,
22682,dhn,Dhanka,DANGI,Dhanka,
6548,dho,Dhodia,DHODIA,Dhodia,
139058,dib,Agar,"DINKA, AGAR-BOR",Agar,
13644,did,Didinga,DIDINGA,Didinga,
7176,dig,Digo,DIGO,Digo,
24273,dik,Rek,"DINKA, REK",Rek,
24267,dip,Padang,"DINKA, NORTHEASTERN (PADANG)",Padang,
19652,dis,Dimasa,DIMASA,Dimasa,
53287,div,Dhivehi,DHIVEHI,Dhivehi,
1343,dje,Zarma,ZARMA,Zarma,
18698,djk,Ndjuka,AUKAANS,Ndjuka,
140535,djm,Jamsay,"DOGON, JAMSAY",Jamsay,
176144,dkx,Mazagway,MAZAGWAY-HIDI,Mazagway,
140549,dmb,"Dogon, Mombo","DOGON, MOMBO","Dogon, Mombo",
14271,dne,Ndendeule,NDENDEULE,Ndendeule,
17820,dng,Gansu,DUNGAN,Jinyu,Gansu
5462,dnj,Wider Dan,DAN,,
147081,dnj,Blou,BLOWO,Southwest Dan,Blou
16447,dnw,West Dani,"DANI, WESTERN",,
176838,dop,Lukpa,LOKPA,Lukpa,
139072,dos,Dogho,DOGOSE,,
23874,dri,Lela,C'LELA,Lela,
4704,drs,Gede Inke,GEDEO,Gede Inke,
97941,dsh,Dasenach,DAASANACH,Dasenach,
20863,dso,Desia Odia,DESIA,Desia Odia,
3786,dta,Daur,DAUR,Daur,
26248,dtm,Tomo,"DOGON, TOMO KAN",Tomo,
140443,dto,Tombo,"DOGON, TOMMO SO",Tombo,
20654,dtp,Dusun,DUSUN,,
27145,dts,Toro,"DOGON, TORO SO",Toro,
53355,dty,Doteli,DADELDHURELI,Nepali,Doteli
185061,dty,Doteli,DOTI DOTELI,Nepali,Doteli
2854,dua,Duala,DUALA,Duala,
