asset_id,media_component_id
A730362070215711,1_jf6125-0-0
A731152156104020,1_jf-0-0
A732598177447902,1_jf6148-0-0
A736284174073091,1_jf-0-0
A738641432419704,2_Acts7305-0-0
A740938221644777,2_Acts7362-0-0
A742483845125461,1_jf6107-0-0
A742485572378997,2_Acts-0-0
A744437966763256,1_jf61??-0-0
A745510552750096,3_0-40DWJ_15-0-0
A745745158781524,2_Acts7357-0-0
A746024724824477,1_jf-0-0
A750654062548199,2_Acts7367-0-0
A750887164558667,1_jf-0-0
A751913366691774,3_0-40DWJ_32-0-0
A753093254479154,1_jf6111-0-0
A754138481303495,1_jf-0-0
A756771576787719,2_Acts7372-0-0
A760509078874178,2_Acts7328-0-0
A764698070707619,3_0-40DWJ_18-0-0
A767385231174779,1_riv_05-0-0
A773658581169166,1_wjv_01-0-0
A773847364376162,1_jf-0-0
A775149374160423,2_0-Marea
A776389021995941,1_jf6141-0-0
A777668690938867,2_0-UseThisApp05
A778379219929211,1_jf-0-0
A780851165520129,1_jf-0-0
A781446467044148,3_0-40DWJ_07-0-0
A781542437274862,1_jf-0-0
A782279507237750,1_jf-0-0
A785268017825422,1_wjv_05-0-0
A785498903746496,1_jf-0-0
A785965616285953,1_jf6109-0-0
A788617972166273,1_jf6109-0-0
A789167508111472,2_Acts7338-0-0
A789677806413615,3_0-40DWJ_16-0-0
A791671334952502,2_0-JesusBackFromDead
A794151558478661,3_0-40DWJ_08-0-0
A794199713634934,1_jf6105-0-0
A796994440098537,1_jf6155-0-0
A798191022868918,2_Acts-0-0
A800924168968998,1_jf6119-0-0
A803631961154496,1_jf6161-0-0
A807176361889190,3_0-40DWJ_21-0-0
A808158033122547,1_jf6125-0-0
A810323101003036,1_cl-0-0
A810370338271608,2_0-4Laws
A811222523067896,1_jf-0-0
A812267082087893,1_jf6126-0-0
A815800695687376,1_jf-0-0
A818279176310500,2_0-Nightwatch
A819274120861354,1_jf-0-0
A820636244966756,1_jf61??-0-0
A822513984478028,1_jf6104-0-0
A823429293612256,2_Acts-0-0
A824232692629501,1_jf6112-0-0
A824446681146635,1_jf6106-0-0
A825122278438851,1_jf-0-0
A825286446054016,1_jf-0-0
A825573328766207,1_jf6112-0-0
A826217857312286,1_jf-0-0
A827481163721120,1_jf-0-0
A828957186879584,1_jf-0-0
A829480777451163,2_Acts7361-0-0
A837549465159932,1_jf61??-0-0
A837819354370163,1_jf61??-0-0
A838442047410617,1_wl604410-0-0
A839843406761285,1_jf-0-0
A842562374884190,2_Acts7323-0-0
A844945270765806,2_Acts-0-0
A845054763561968,2_FileZero14-0-0
A846061463234745,1_jf-0-0
A846171619000138,2_Acts-0-0
A846400424036188,1_jf6105-0-0
A846617234525176,1_riv_12-0-0
A850019606972710,2_Acts-0-0
A850639138658385,1_jf6146-0-0
A850663188778934,2_Acts-0-0
A852305137319878,1_jf6101-0-0
A854388553688468,1_jf61??-0-0
A855088608273930,2_Acts-0-0
A855300415347221,2_Acts7350-0-0
A855591147873434,1_jf-0-0
A855907150971365,3_0-40DWJ_15-0-0
A856099764896833,1_mld-0-0
A856567635662838,1_jf6126-0-0
A857259841899380,2_Acts7356-0-0
A858534172626607,1_jf6126-0-0
A858926582394407,2_Acts-0-0
A858999262230335,1_jf-0-0
A859516843809067,1_jf-0-0
A859565515068580,2_Acts-0-0
A859620221000263,1_jf-0-0
A860776438349452,2_Acts-0-0
A860852940994441,1_jf6117-0-0
A862064933142675,2_0-EasterExplained
A862291749171972,1_jf-0-0
A863511341466471,1_jf-0-0
A865885179105252,1_jf61??-0-0
A867702300047836,2_FileZero10-0-0
A867781867810608,2_Acts7332-0-0
A869824188365193,1_jf-0-0
A871536846395781,1_jf6121-0-0
A875966920743183,1_jf-0-0
A877205438927210,1_wl604411-0-0
A877583368416099,1_cl-0-0
A878139278303235,1_riv_05-0-0
A879111833718592,1_jf6107-0-0
A879765057887011,1_riv_09-0-0
A880540014362132,1_jf6155-0-0
A880958778759744,1_jf-0-0
A881325268868901,1_jf61??-0-0
A883864443268677,2_Acts-0-0
A883970333429656,1_wl604427-0-0
A885713728856952,1_jf6132-0-0
A886097110177081,1_riv_12-0-0
A887627799221363,1_riv_09-0-0
A887631113536496,1_riv_01-0-0
A892240887335006,1_jf6112-0-0
A892507189420909,2_Acts7325-0-0
A894628170448860,1_jf-0-0
A895400348074063,1_riv_03-0-0
A896039476200243,1_jf6111-0-0
A896893362745522,1_jf-0-0
A897129100877524,1_jf-0-0
A897671772537708,1_jf-0-0
A901551692461414,1_jf61??-0-0
A903249722573029,1_jf6139-0-0
A903671780242185,1_jf-0-0
A904223396425402,2_Acts-0-0
A905468927944947,2_Acts7350-0-0
A907384993889204,1_jf6116-0-0
A907687227211303,1_jf6125-0-0
A907704106824335,1_jf-0-0
A907953020106448,1_jf6161-0-0
A912354947041418,1_jf6139-0-0
A912909643248727,2_Acts7335-0-0
A914024898650839,1_riv_01-0-0
A918348976674005,2_FileZero11-0-0
A920118976082904,1_jf6122-0-0
A922420453084337,1_jf6139-0-0
A923203263132856,1_jf6107-0-0
A923551042978132,2_Acts73??-0-0
A925204388723417,1_riv_11-0-0
A926562793810046,1_jf6125-0-0
A926670478104479,1_jf6112-0-0
A927987995138362,2_0-Puzzler
